Date,Grade,Region,Regional_Price,Seasonal_Impact,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price,Vietnam_Harvest_Flag,Is_Active_Region,National_Price
2020-01-01,gr1,badulla,609.0,1,25.160225,110.8,181.4036,5.7,104,0,1,581.81
2020-01-01,white,badulla,779.0,1,25.160225,110.8,181.4036,5.7,104,0,1,862.35
2020-01-01,gr1,colombo,631.3333333333334,1,30.64013,18.800001,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,galle,518.75,1,30.265484,45.3,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,gampaha,575.0,1,32.767258,20.9,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,hambantota,554.5,1,30.615934,23.900002,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,kalutara,555.0,1,30.246387,26.500002,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,kandy,603.5,1,28.454937,7.4000006,181.4036,5.7,104,0,1,581.81
2020-01-01,white,kandy,912.5,1,28.454937,7.4000006,181.4036,5.7,104,0,1,862.35
2020-01-01,gr1,kegalle,595.5,1,32.149452,11.0,181.4036,5.7,104,0,1,581.81
2020-01-01,white,kegalle,968.75,1,32.149452,11.0,181.4036,5.7,104,0,1,862.35
2020-01-01,gr1,kurunegala,619.5,1,31.393095,11.0,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,matale,606.75,1,29.612776,10.0,181.4036,5.7,104,0,1,581.81
2020-01-01,white,matale,861.0,1,29.612776,10.0,181.4036,5.7,104,0,1,862.35
2020-01-01,gr1,matara,567.5,1,29.135195,8.8,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,monaragala,579.75,1,29.059225,41.8,181.4036,5.7,104,0,1,581.81
2020-01-01,white,monaragala,790.5,1,29.059225,41.8,181.4036,5.7,104,0,1,862.35
2020-01-01,gr1,nuwaraeliya,570.0,1,20.404142,18.1,181.4036,5.7,104,0,1,581.81
2020-01-01,gr1,ratnapura,559.25,1,30.479452,37.600002,181.4036,5.7,104,0,1,581.81
2020-02-01,gr1,badulla,563.75,1,25.33631,142.9,181.5628,6.2,104,1,1,533.38
2020-02-01,white,badulla,791.5,1,25.33631,142.9,181.5628,6.2,104,1,1,827.45
2020-02-01,gr1,colombo,517.25,1,32.187794,24.3,181.5628,6.2,104,1,1,533.38
2020-02-01,gr1,galle,525.0,1,31.290344,67.3,181.5628,6.2,104,1,1,533.38
2020-02-01,gr1,gampaha,517.0,1,34.60569,25.0,181.5628,6.2,104,1,1,533.38
